Ligand,Source,SourceID,Affinity,TotalModes,SimScore,SMILES,MW,TPSA,HBD,HBA,RotB,LogP
mol_1602,PubChem,141023871,-7.073,9,22,[H]OC([H])([H])c1c(-c2n[n-]c3c([H])c([H])c([H])c([H])c23)oc([H])c1[H],213.22,60.36,1,3,3,1.94
mol_2257,PubChem,154056953,-7.236,9,11,[H]c1c([H])c([H])c2c(c1[H])-c1c(c([H])c(C(=O)N([H])[H])n1[H])C([H])([H])N2[H],213.24,70.91,3,2,1,1.71
mol_4475,PubChem,175815098,-7.064,9,11,[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])c(=O)n2C1=NN([H])C([H])([H])C1([H])[H],213.24,46.39,1,3,0,1.16
mol_2301,PubChem,102045061,-7.264,9,6,[H]OC([H])([H])[C@@]1([H])N([H])c2c(c([H])c([H])c3c([H])c([H])c([H])c([H])c23)C([H])([H])C1([H])[H],213.28,32.26,2,2,2,2.56
mol_4183,PubChem,103965017,-7.156,9,6,[H]c1nc2c([H])c([H])c([H])c([H])c2c2c1N([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[H])N2[H],213.28,36.95,2,3,2,2.85
mol_4571,PubChem,66875987,-7.174,8,25,[H]c1oc([H])c(-c2c([H])c([H])c([H])c3c2C([H])([H])C([H])([H])N([H])[C@@]3([H])C([H])([H])[H])c1[H],213.28,25.17,1,2,2,3.15
mol_3828,PubChem,175937172,-7.076,9,6,[H]c1c(C(=O)C([H])([H])[H])c([H])c2c(c1[H])=NC([H])([H])[C@]1([H])C=2C([H])([H])C([H])([H])C1([H])[H],213.28,29.43,0,2,2,1.47
mol_330,PubChem,3160248,-7.413,9,33,[H]C1=C([O-])N(c2c([H])c([H])c([H])c3nc([H])c([H])c([H])c23)N([H])O1,214.2,60.45,1,5,1,0.65
mol_1477,PubChem,70528428,-7.618,9,0,[H]C1=Nc2c([H])c([H])c([H])c([H])c2[C@@]2(C(=O)[N-]C(=O)N2[H])C1([H])[H],214.2,72.63,1,3,0,1.61
mol_342,PubChem,58200018,-7.091,9,6,[H]c1c([H])c(-c2nn[n-]n2)c2c(c1[H])C([H])([H])C([H])([H])C(=O)N2[H],214.21,81.87,1,4,1,0.38
mol_870,PubChem,16766563,-7.212,9,22,[H]c1c([H])c([H])c2c([H])c(C([H])([H])[H])oc2c1-n1nnnc1C([H])([H])[H],214.23,56.74,0,4,3,2.03
mol_1255,PubChem,23400366,-7.005,9,17,[H]c1c(C([H])([H])[H])c([H])c2[n-]c(C(=O)C([H])([H])[H])c([H])c(=O)c2c1C([H])([H])[H],214.24,48.24,0,2,4,1.98
